,Unnamed: 0,Hotel Name,Cost Per Night,Rating,Features,Location,Selling_Price,Cost_Price,Discount,City,Locality,Rate,Customer_Rating,Remarks,Category,wifi_availabilty,Hotel_Name,Elevator,Parking Facility,Power backup,Doctor on Call,CCTV Cameras,Reception,AC
30,30,Collection O 83547 Iconic Residency,₹925₹176547% offper room per nightView DetailsBook Now,4.3 (768 Ratings)·Very Good, Reception  Free Wifi  Caretaker  + 10 more,"RAJENDRA NAGAR, Delhi",925.0,1765.0,47.0,Delhi,"RAJENDRA NAGAR, ",4.3,8 Ratings,Very,Collection O,yes,O 83547 Iconic Residency,yes,yes,yes,yes,yes,yes,yes
31,31,Capital O 86072 Holiday Home ,₹657₹254274% offper room per nightView DetailsBook Now,2.7 (10 Ratings)·Fair, Reception  Ticket Tour Assistance  Free Wifi  + 20 more,"India, Delhi",657.0,2542.0,74.0,Delhi,"India, ",2.7,0 Ratings,Fair,Capital O,yes,O 86072 Holiday Home,yes,yes,yes,yes,yes,yes,yes
32,32,Collection O 50329 Singh Guest House,₹559₹233976% offper room per nightView DetailsBook Now,4.5 (341 Ratings)·Excellent, Reception  Free Wifi  CCTV Cameras  + 5 more,"New Delhi 71, Delhi",559.0,2339.0,76.0,Delhi,"New  71, ",4.5,1 Ratings,Excellent,Collection O,yes,O 50329 Singh Guest House,yes,yes,yes,yes,yes,yes,yes
33,33,OYO 62660 Hotel Park View,₹625₹211070% offper room per nightView DetailsBook Now,4.4 (1521 Ratings)·Very Good, Hair Dryer  Reception  Power backup  + 15 more,"Near Adarsh nagar, Matmy Memar, Delhi",625.0,2110.0,70.0,Delhi,"Near Adarsh nagar, Matmy Memar, ",4.4,1 Ratings,Very,OYO,no,62660 Hotel Park View,no,no,no,no,no,no,no
34,34,OYO 37773 Hotel J Joy,₹799₹173453% offper room per nightView DetailsBook Now,4.5 (1138 Ratings)·Excellent, Reception  Free Wifi  Power backup  + 14 more,"MAIN FAIZ ROAD (Above SBI BANK), KAROL BAGH",799.0,1734.0,53.0,Delhi,"MAIN FAIZ ROAD (Above SBI BANK), KAROL BAGH",4.5,8 Ratings,Excellent,OYO,yes,37773 Hotel J Joy,yes,yes,yes,yes,yes,yes,yes
35,35,OYO 7217 Hotel Knk International,₹1279₹243547% offper room per nightView DetailsBook Now,4.5 (469 Ratings)·Excellent, Reception  Free Wifi  Power backup  + 15 more,"Near Karol Bagh, WEA, Delhi",1279.0,1279.0,47.0,Delhi,"Near Karol Bagh, WEA, ",4.5,9 Ratings,Excellent,OYO,yes,7217 Hotel Knk International,yes,yes,yes,yes,yes,yes,yes
36,36,OYO 12739 Mahesh Inn,₹550₹210473% offper room per nightView DetailsBook Now,3.3 (474 Ratings)·Fair, AC  TV  AC  + 12 more,Near New Delhi Railway Station,550.0,2104.0,73.0,Delhi,Near New  Railway Station,3.3,4 Ratings,Fair,OYO,no,12739 Mahesh Inn,no,no,no,no,no,no,no
37,37,OYO 7684 Hotel Repose Villa,₹799₹224064% offper room per nightView DetailsBook Now,4.6 (1288 Ratings)·Excellent, Elevator  Free Wifi  Geyser  + 4 more,"Near new delhi railway station, Chuna Mandi, Delhi",799.0,2240.0,64.0,Delhi,"Near new delhi railway station, Chuna Mandi, ",4.6,8 Ratings,Excellent,OYO,yes,7684 Hotel Repose Villa,yes,yes,yes,yes,yes,yes,yes
38,38,Collection O 83597 Hotel Love Stay,₹664₹193265% offper room per nightView DetailsBook Now,4.3 (387 Ratings)·Very Good, Reception  Free Wifi  Power backup  + 19 more,"South West Delhi, Delhi",664.0,1932.0,65.0,Delhi,"South West , ",4.3,7 Ratings,Very,Collection O,yes,O 83597 Hotel Love Stay,yes,yes,yes,yes,yes,yes,yes
39,39,OYO 84076 Dwarka Metro View,₹625₹208069% offper room per nightView DetailsBook Now,3.4 (268 Ratings)·Fair, Reception  Ticket Tour Assistance  Free Wifi  + 15 more,"near Dwarka Metro Station, Delhi",625.0,2080.0,69.0,Delhi,"near Dwarka Metro Station, ",3.4,8 Ratings,Fair,OYO,yes,84076 Dwarka Metro View,yes,yes,yes,yes,yes,yes,yes
40,40,OYO 85985 Sunrise Villa,₹549₹208073% offper room per nightView DetailsBook Now,4.1 (83 Ratings)·Very Good, Parking Facility  Reception  Caretaker  + 12 more,"India, Delhi",549.0,2080.0,73.0,Delhi,"India, ",4.1,3 Ratings,Very,OYO,no,85985 Sunrise Villa,no,no,no,no,no,no,no
41,41, OYO Flagship 77310 Sec 7 Rohini ,₹684₹195865% offper room per nightView DetailsBook Now,4.5 (1586 Ratings)·Excellent, Free Wifi  AC  TV ,"near bank of Baroda, Delhi",684.0,1958.0,65.0,Delhi,"near bank of Baroda, ",4.5,6 Ratings,Excellent,OYO,yes,Flagship 77310 Sec 7 Rohini,yes,yes,yes,yes,yes,yes,yes
42,42,OYO 85984 Hotel Happy Spring,₹625₹192967% offper room per nightView DetailsBook Now,4.4 (72 Ratings)·Very Good, Parking Facility  Reception  Free Wifi  + 14 more,"South East Delhi, Delhi",625.0,1929.0,67.0,Delhi,"South East , ",4.4,2 Ratings,Very,OYO,yes,85984 Hotel Happy Spring,yes,yes,yes,yes,yes,yes,yes
43,43,OYO 79123 Smart Palace,₹541₹206173% offper room per nightView DetailsBook Now,3.8 (97 Ratings)·Good, Parking Facility  Reception  Ticket Tour Assistance  + 14 more,"Sarita Vihar New Delhi 110076, Delhi",541.0,2061.0,73.0,Delhi,"Sarita Vihar New  110076, ",3.8,7 Ratings,Good,OYO,no,79123 Smart Palace,no,no,no,no,no,no,no
44,44,OYO 87591 Legend Stay,₹830₹185055% offper room per nightView DetailsBook Now,4.7 (39 Ratings)·Excellent, Doctor on Call  Reception  Free Wifi  + 14 more,"India, Delhi",830.0,1850.0,55.0,Delhi,"India, ",4.7,9 Ratings,Excellent,OYO,yes,87591 Legend Stay,yes,yes,yes,yes,yes,yes,yes
45,45,OYO 67901 Hotel Yugh Dx,₹541₹224075% offper room per nightView DetailsBook Now,3.1 (38 Ratings)·Fair, Hair Dryer  Reception  Free Wifi  + 18 more,"Near New Delhi Railway Station, Delhi",541.0,2240.0,75.0,Delhi,"Near New  Railway Station, ",3.1,8 Ratings,Fair,OYO,yes,67901 Hotel Yugh Dx,yes,yes,yes,yes,yes,yes,yes
46,46,OYO Flagship 87309 Hotel Blue Moon ,₹901₹185151% offper room per nightView DetailsBook Now,4.9 (47 Ratings)·Fabulous, Hair Dryer  Parking Facility  Reception  + 14 more,"India, Delhi",901.0,1851.0,51.0,Delhi,"India, ",4.9,7 Ratings,Fabulous,OYO,no,Flagship 87309 Hotel Blue Moon,no,no,no,no,no,no,no
47,47,SPOT ON 61091 Hotel Silver Palace Dx,₹766₹145947% offper room per nightView DetailsBook Now,4.6 (4036 Ratings)·Excellent, AC  Reception  Queen Sized Bed  + 7 more,"Near RK ASHRAM METRO STATION, Pahar Ganj, Delhi",766.0,1459.0,47.0,Delhi,"Near RK ASHRAM METRO STATION, Pahar Ganj, ",4.6,6 Ratings,Excellent,SPOT ON,no,ON 61091 Hotel Silver Palace Dx,no,no,no,no,no,no,no
